AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Hooper, John;[1495]-1555;http://viaf.org/viaf/54496652/#Hooper,_John,_1500?-1555;An apologye made by the reuerende father and constante martyr of Christe Iohn Hooper late bishop of Gloceter and Worceter againste the untrue and sclaunderous report that he should be a maintainer and encorager of suche as cursed the Quenes highnes that then was, Quene Marye. Wherein thou shalte see this godlye mannes innocency and modest behauioure: and the falsehode and subtyltye of the aduersaryes of Gods truth;An apologye made by the reuerende father and constante martyr of Christe Iohn Hooper ...;1562;London;Iohn Tisdale and Thomas Hacket ;English;Protestantism;English Reformation;;;;https://quod.lib.umich.edu/e/eebo/A03619.0001.001?view=toc
Jurieu, Pierre;1637-1713;http://viaf.org/viaf/12719/#Jurieu,_Pierre,_1637-1713.;"Histoire du Calvinisme & celle du Papisme mises en parallele, ou apologie pour les reformateurs, pour la reformation, & pour les reformez, divisée en quatre Parties; contre un libelle intitulié l'Historie du Calvinisme par mr. Maimbourg Premier Partie.  Qui contient l'apologie pour les principaux reformateurs, pour les martyrs de la reformation, pour Calvin, pour sa Personne, pour sa Doctrine, & pour sa Religion. ";Histoire du Calvinisme ...;1683;Rotterdam;Reinier Leers;French ;Protestantism;Calvinism;France;;;https://www.digitale-sammlungen.de/en/view/bsb10620003?page=6,7
Kessler, Johannes;[1502]-1574;http://viaf.org/viaf/305406108/#Kessler,_Johannes,_1502?-1574;Sabbata: Chronick der Jahre 1523-1539.;Sabbata: Chronick der Jahre 1523-1539.;;n. p.;n. p.;German;Swiss Reformed;Anabaptism;Swiss Brethren ;;;https://books.google.com/books?id=ZUcJAAAAQAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Leigh, Edward;1602-1671;http://viaf.org/viaf/44320268/#Leigh,_Edward,_1602-1671;The saints encouragement in evil times: or Observations concerning the martyrs in generall with some memorable collections out of Foxes three volumes. Martin Luther. The covenant and promises. Living and dying by faith. By Edward Leigh Esquire.;The saints encouragement in evil times ...;1648;London;Abraham Miller;English;Martyrology;England;English Civil War;Protestantism;;"https://quod.lib.umich.edu/cgi/t/text/text-idx?c=eebo;idno=A47618.0001.001"
Luther, Martin;1483-1546;http://viaf.org/viaf/14773105/#Luther,_Martin,_1483-1546.;Der Actus vnnd hendlung der Degradation vnd verpren[n]ung der Christlichen dreyen Ritter vnd Merterer Augustiner ordens  geschehen zu Brussel. Anno M.D.xxiij. Prima Julij;Der Actus vnnd hendlung der Degradation ...;1523;Augsburg;Melchior Romminger;German;Lutheranism;Augustinians;;;;https://books.google.com/books?id=_I3VdXtfKKIC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Luther, Martin;1483-1546;http://viaf.org/viaf/14773105/#Luther,_Martin,_1483-1546.;Von Er Lenhard Keiser ynn Beyern vmb des Evangelij willen verbrandt Eine selige geschicht.;Von Er Lenhard Keiser ynn Beyern vmb des Evangelij willen verbrandt ...;1528;Wittenberg;Hans Lufft;German;Lutheranism;Reformation;Bavaria ;;;https://www.bavarikon.de/object/BSB-HSS-00000BSB00089295?lang=de
Luther, Martin;1483-1546;http://viaf.org/viaf/14773105/#Luther,_Martin,_1483-1546.;Vorrede zu Robertus Barns' Glaubensbekenntnis. ;Vorrede zu Robertus Barns' Glaubensbekenntnis. ;1540;Wittenberg;Nickel Schirlenz;German;Lutheranism;English Reformation;England;;;https://www.digitale-sammlungen.de/de/view/bsb11006953?page=1
Luyken, Jan;1649-1712;http://viaf.org/viaf/9885051/#Luyken,_Jan,_1649-1712.;"Théâtre des martyrs: depuis la mort de J.Christ jusqu'à present: représenté en très belles tailles-douces; Schau-Bühne der Martyrer; gezeichnet und in Kuppfer gestochen von Iohann Luyken";Théâtre des martyrs [...] Schau-Bühne der Martyrer ...;1711;Leiden;Pierre Van der Aa.;"French; German";Iconography;Martyrology;Mennonites;Anabaptism;Hagiographies;https://www.e-rara.ch/zut/content/zoom/12931781
Mäule, Thomas;1630-1673;http://viaf.org/viaf/29877115/#Mäule,_Thomas;A cloud of witnesses, or, The sufferers mirrour made up of the swanlike-songs, and other choice passages of several martyrs and confessors to the sixteenth century, in their treatises, speeches, letters, prayers, &c. in their prisons, or exiles, at the bar, or stake, &c. collected out of the ecclesiastical histories of Eusebius, Fox, Fuller, Petrie, Scotland, and Mr. Samuel Ward's Life of faith in death, &c. and alphabetically disposed by T.M., M.A.;A cloud of witnesses, or, The sufferers mirrour ...;1665;London;Robert Boulter;English;Martyrology;Protestantism;Englnad;English Civil War;Scotland;https://quod.lib.umich.edu/e/eebo/A51699.0001.001?view=toc
Meisner, Johannes Theodorus;1615-1681;http://viaf.org/viaf/69693448/#Meisner,_Johann,_1615-1681;Disputatio Publica Solennis De Persecutionibus Et Martyriis Christianorum Veterum. Praeside Viro, Reverendo, Amplissimo, Excellentissimo, DN. Johanne Meisnero, SS. Theologiae D. & P.P. Colleggi hoc tempore, Decano, nec non Alumnorum Electoralium Ephoro ...    ;Disputatio Publica Solennis De Persecutionibus Et Martyriis Christianorum Veterum ...;1654;Wittenberg ;Michaelis Wendt;Latin;Lutheranism;Early Christianity;Martyrology;;;https://books.google.com/books?id=TtpGAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Munday, Anthony ;[1553]-1633;http://viaf.org/viaf/25398639/#Munday,_Anthony,_1553-1633.;A discouerie of Edmund Campion, and his confederates, their most horrible and traiterous practises, against her Maiesties most royall person and the realme Wherein may be seene, how thorowe the whole course of their araignement: they were notably conuicted of euery cause. Whereto is added, the execution of Edmund Campion, Raphe Sherwin, and Alexander Brian, executed at Tiborne the 1. of December. Published by A.M.  sometime the Popes scholler, allowed in the seminarie at Roome amongst them: a discourse needefull to be read of euery man, to beware how they deale with such secret seducers. Seene, and allowed.;A discouerie of Edmund Campion ...;1582;London;Edward White;English;Catholicism;Jesuits;England;Elizabethan Martyrs;;"https://quod.lib.umich.edu/e/eebo/A07899.0001.001/1:1?rgn=div1;view=toc"
Mush, John;[1552]-1612;http://viaf.org/viaf/5902159478353727990000/#Mush,_John,_sac.,_1552-1612;The Life and Death of Mistress Margaret Clitherow;The Life and Death of Mistress Margaret Clitherow;1586;n. p.;n. p.;English;Catholicism;Women Martyrs;England;;;https://sites.duke.edu/conversions/files/2014/09/Mush-True-Report-of-the-Life-of-St.-Margaret-Clitherow.pdf
Outerman, Jacques;[1547]-1639;http://viaf.org/viaf/160528955/#Outerman,_Jacques,_approximately_1547-approximately_1639;Historie der martelaren ofte waerachtighe getuygen Jesu Christi die d'evangelische waerheyt in veelderley tormenten betuygt ende met haer bloed bevesticht hebben sint het Jaer 1524 tot desen tyt toe waerby oock  gevoecht syn haer bekentenissen, disputatien ende schriften uytdruckende haerl. levende hope crachtich gelove ende brandende liefde tot Godt ende sync heylige waerheyt. ;Historie der martelaren ...;1615;Haarlem;Hans de Ries;Dutch ;Mennonites;Anabaptism;Netherlands;Flanders ;;https://books.google.com/books?id=civcyG5nS84C&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Pantaleon, Heinrich ;1522-1595;http://viaf.org/viaf/9977353/#Pantaleon,_Heinrich,_1522-1595;Martyrum historia hoc est Maximarum per Europeam persecutionum ac sanctorum Dei Martyrum, caeterarumque rerum insignium, in Ecclesia Christi postremis & periculosis his temporibus gestarum, atque certo consilio per Regna & Nationes distributarum, Commentarii. ;Martyrum historia ...;1563;Basel;Nicolaum Brylingerum;;Basel;Martyrology;Swiss Reformed;;;https://books.google.com/books?id=l_dVAAAAcAAJ&printsec=frontcover&source=gbs_atb#v=onepage&q&f=false
Parsons, Robert;1546-1610;http://viaf.org/viaf/76338717/#Parsons,_Robert,_1546-1610.;An examen of the calendar or catalogue of protestan saincts, martyrs, and consellors, deuised by Ion Fox, and prefixed before his great volume, of Acts and monuments. With a parelel and comparison therof to the Catholic Roman Calendar, and Saints therin contained. The first six monethes. This tome appertayneth to the third part of a late treatise of three conuersions of England;An examen of the calendar or catalogue of protestan saincts, martyrs, and consellors ...;1604;Saint Omer;Bellet;English;Catholicism;Jesuits (S. J.);Anti-Protestant Controversy;Acts and Monuments;;https://books.google.com/books?id=DZfNeQSVEhYC&printsec=frontcover#v=onepage&q&f=false
Parsons, Robert;1546-1610;http://viaf.org/viaf/76338717/#Parsons,_Robert,_1546-1610.;Relacion de algunos martyrios, que de nueuo han hecho los hereges en Inglaterra, y de otras cosas tocantes a nuestra santa y Catolica Religion;Relacion de algunos martyrios ...;1590;Madrid;Pedro Madrigal;Spanish;Catholicism;Jesuits (S. J.) ;England ;Elizabethan Martyrs;Anti-Protestant Controversy;https://books.google.com/books?id=UrmvfqfwnNgC&printsec=frontcover#v=onepage&q&f=false
Rabus, Ludwig ;1523-1592;http://viaf.org/viaf/25350715/#Rabus,_Ludwig,_1524-1592;Historien der Heyligen Außerwölten Gottes Zeügen, Bekennern vnd Martyrern, so in Angehender ersten  Kirchen, Altes und Neüwes Testaments, zuo jeder zeyt gewesen seind, Auß H. Göttlicher, vnd der Alten Lehrer Glaubwürdigen Schrifften, Zuo gemeyner Auffbauwung vnnd Besserung der Angefochtenen Kirchen Teütscher Nation, warhafftig beschryben;Historien der Heyligen Außerwölten ...;1552;Strasbourg;Balthazar Becken;German;Holy Roman Empire;Martyrology;Hymns ;Lutheranism;Anabaptism;https://daten.digitale-sammlungen.de/0002/bsb00023395/images/index.html?id=00023395&groesser=&fip=193.174.98.30&no=&seite=6
La Ramée, Pierre de [Ramus, Petrus];1515-1572;http://viaf.org/viaf/39399236/#La_Ramée,_Pierre_de,_1515?-1572;The logike of the most excellent philosopher P. Ramvs Martyr: newly translated, and in diuers places corrected, after the minde of the Author.;The logike of the most excellent philosopher P. Ramvs Martyr ...;1581;London;Thomas Vautrollier ;English;Protestantism;Humanism;St. Bartholomew's massacre;Huguenots;;https://books.google.com/books?id=3EsyAQAAMAAJ&printsec=frontcover#v=onepage&q&f=false
Rechenberg, Adam;1642-1721;http://viaf.org/viaf/73877549/#Rechenberg,_Adam,_1642-1721.;Johannes Hus - Martyr : Historice descriptus, & Consensu Ampliss. Facult. Phil. Solenni Disputatione. Moderatore Dn. M. Adamo Rechenberg. S.S. Theolog. Baccal. et facult. Phil. Assessore, Aer. Chr. MDCLXXI. D. II. Dec. Eruditis a Johanne Wernero, Vratisl. Phil. Baccal. Autore-Respond. publice exhibitus;Johannes Hus - Martyr ...;1671;Leipzig;Johann-Enrici Hahnii;Latin;Lutheranism;Holy Roman Empire;Hussites;;;https://digitale.bibliothek.uni-halle.de/vd17/content/pageview/138110
Renwick, James;1662 - 1688;http://viaf.org/viaf/64352523/#Renwick,_James,_1662-1688;Two Godly Letters of the Pious Martyr Mr. James Renwick: To the Right Honourable the Society of Srangers at Lewarden in Friezland. To which is Added, His Negative Duties,;Two Godly Letters of the Pious Martyr Mr. James Renwick ...;1751;Edinburgh;n. p.;English;Scotland;Presbyterians;Scottish Covenanter;;;https://books.google.com/books?id=5CxcAAAAQAAJ&printsec=frontcover#v=onepage&q&f=false
Ridley, Glocester;1702 - 1774;http://viaf.org/viaf/12650198/#Ridley,_Glocester,_1702-1774;The life of Dr. Nicholas Ridley, sometime Bishop of London, shewing the plan and progress of the  Reformation in which he was a principal instrument and suffered martyrdom for it in the reign of Queen Mary;The life of Dr. Nicholas Ridley ...;1763;London;J. Whiston, B. White;English;Protestantism;England;Marian Martyrs;English Reformation;;https://archive.org/details/lifeofdrnicholas00ridl
"Ries, Hans de; Outerman, Jacques ";"1553 - 1638; 1547 - 1639";"http://viaf.org/viaf/20110540/#Ries,_Hans_˜deœ_1553-1638; 

http://viaf.org/viaf/160528955/#Outerman,_Jacques,_approximately_1547-approximately_1639";Historie der Martelaren ofte waerachtighe Getuygen Jesu Christi, die d'Evangelische waerheyt in veelderley tormenten betuygt ende met haer bloet bevesticht hebben sint het Jaer 1524 to desen tyt toe.;Historie der Martelaren ...;1615;Haarlem;Daniel Keyser;Dutch ;Mennonites;Netherlands;Martyrology;Anabaptism;;No link found
Rigge, Ambrose;[1635] - 1705;http://viaf.org/viaf/1426571/#Rigge,_Ambrose,_1635?-1705;The good old way and truth which the ancient Christians many ages and generations ago witnessed unto in the world from age to age, even from the dayes of Christ unto this very time, wherein the same doctrine, life and practice is witnessed unto by us who are in contempt called Quakers, through many tribulations, which our ancestors, the most ancient and true Christians that ever were upon the earth, sealed unto, with the loss of their lives and liberties, by which, in short, is fully manifested, in what is treated of herein, that the doctrine of the Quakers, in denying to swear any oath, and their refusing to pay tythes, and many other things they practise, was the doctrine and practise of the most famous and renowned Christians, both testified of in the Scriptures of truth, and the books of martyrs.;The good old way ...;1669;London;n. p.;English;Quakers;England;Tithes;;;https://quod.lib.umich.edu/e/eebo2/A57303.0001.001?view=toc
"Ridley, Nicholas; Latimer, Hugh";"[1500] - 1555; [1485] - 1555";"http://viaf.org/viaf/19716290/#Ridley,_Nicholas,_1500?-1555
http://viaf.org/viaf/45098193/#Latimer,_Hugh,_1485?-1555
";Certẽ godly, learned and comfortable conferences, betwene the two Reverende Fathers, and holye Martyrs of Christe, D. Nicolas Rydley late Bysshope of London, and M. Hughe Latymer Sometyme Bysshope of Worcester, during the tyme of theyr emprysenmentes, Whereunto is added a treatise agaynste the errour of Transubstantiation;Certẽ godly, learned and comfortable conferences, between two [...] holye Martyrs ...;1556;n. p.;n. p.;English;England;Marian Martyrs;English Reformation ;;;https://daten.digitale-sammlungen.de/0007/bsb00071747/images/index.html?id=00071747&groesser=&fip=193.174.98.30&no=&seite=7
Sanders, Nicholas;1530 - 1581;http://viaf.org/viaf/51803213/#Sander,_Nicholas,_1530?-1581;De Iustitia Britannica, sive Anglica: quae contra Christi martyres continenter exercetur.;De Iustitia Britannica, sive Anglica ...;1584;Ingolstadt;Davidis Sartorii;Latin;Catholicism;England;Anti-Protestant Controversy;;;https://books.google.com/books?id=GhlSAAAAcAAJ&printsec=frontcover#v=onepage&q&f=false
Sanders, Nicholas;1530 - 1581;http://viaf.org/viaf/51803213/#Sander,_Nicholas,_1530?-1581;De Origine Ac Progressv Schismatis Anglicani, Libri Tres: Qvibvs Historia Continetvr maximè Ecclesiastica, annorum circiter sexaginta, lectu dignißima: nimirum, ab anno 21. regni Henrici octaui, quo primùm cogitare coepit de repudianda legitima vxore serenißima Catharina, vsque ad hunc vigesimum octauum Elisabethae, quae vltima est eiusdem Henrici soboles;De Origine Ac Progressv Schismatis Anglicani ...;1587;Ingolstadt;Wolfgangi Ederi;Latin;Catholicism;England;Anti-Protestant Controversy;Catholic Exiles;;https://books.google.com/books?id=wCFWAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Enzinas, Francisco de [Senarclaeus, Claudius] ;1518 - 1552;http://viaf.org/viaf/50672617/#Enzinas,_Francisco_˜deœ_1518-1552;Historia Vera De Morte Sancti uiri Ioannis Diazij Hispani: quem eius frater germanus Alphonsus Diazius, exemplum sequutus primi parricidae Cain, uelut alteru[m] Abelem, nefarie interfecit, per Claudium Senarclaeum. Cum praefatione D. Martini Buceri, in qua de praesenti statu Germaniae multa continentur  lectu in primis digna;Historia Vera De Morte Sancti uiri Ioannis Diazij Hispani ...;1546;Basel;Oporinus;Latin;Protestantism;Spanish Protestantism ;Martyrology;;;https://www.digitale-sammlungen.de/en/view/bsb10208836?page=,1
Severt, Jacques;1559 - 1628;http://viaf.org/viaf/52791143/#Severt,_Jacques;L'antimartyrologe, ou Vérité manifestée contre les histoires des supposés martyrs de la religion prétendue réformée, imprimèe à Geneve onse fois. Divisé en douze livres. Monstrant la difference des vrairs Martyrs d'avec les faux, corporellement executez en divers lieux. Tous les articles controversés de nostre foy y estans espliqués selon les authoritez de l'Escriture saincte & des anciens peres. Ensemble l'impie doctrine des  Heretiques y refutée, pur la defense de l'Eglise Catholique, Apostolique et Romaine.       ;L'antimartyrologe ...;1622;Lyon;Simon Rigaud;French ;Catholicism;France;;;;https://books.google.com/books?id=6dW4PRzOoKoC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Shields, Alexander;[1660] - 1700;http://viaf.org/viaf/283061158/#Shields,_Alexander,_1660?-1700;An elegie upon the death of that famous and faithful minister and martyr, Mr. James Renwick composed  immediately after his execution at Edinburgh. February 17th. 1688.;An elegie upon the death of [...] Mr. James Renwick ...;1690;Edinburgh;n. p.;English;Scotland;Scottish Covenanter;Presbyterians;;;https://quod.lib.umich.edu/e/eebo/A59962.0001.001?view=toc
Southwell, Henry;[1730] - 1779;http://viaf.org/viaf/27084129/#Southwell,_Henry_....-1779;"The New Book Of Martyrs; Or Complete Christian Martyrology.: Containing An Authentic And Genuine Historical Account Of The Many Dreadful Persecutions Against The Church Of Christ, In All Parts Of The World, By Pagans, Jews, Turks, Papists, And Others, From The Earliest Ages Of The Church, To The Present Period ";The New Book Of Martyrs ...;1770;London;J. Cook;English;Martyrology;England;Anglicanism ;;;No link found
Spangerberg, Cyriacus ;1529 - 1604;http://viaf.org/viaf/46900667/#Spangenberg,_Cyriacus,_1528-1604;Die Zehende Predigt Von dem thewren Bekenner Gottes: D. Martin Lvther, Das er ein rechtschaffen heiliger Martyrer vnd Bestendiger Zeuge Jhesu Christi gewesen;Die Zehende Predigt Von dem thewren Bekenner Gottes ...;1568;Eisleben ;Petri;German;Martin Luther;Lutheranism ;Holy Roman Empire  ;;;https://books.google.com/books?id=fvw7AAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Stapleton, Thomas;1535 - 1598;http://viaf.org/viaf/59169375/#Stapleton,_Thomas,_1535-1598.;"Tres Thomae seu: De S. Thomae Apostoli rebus gestis; De S. Thoma Archiepiscopo Cantuariensi & Martyre; D. Thomae Mori Angliae quomdam Cancellarij vita; His adiecta est oratio funebris in landem R. P. Arnoldi de Ganthois Abbatis Marchennensis.";Tres Thomae seu ...;1588;Duaci;Ioannis Bogardi;Latin;England;Anti-Protestant Controversy;Catholicism;;;https://books.google.com/books?id=YVmxrWZ_qDMC&printsec=frontcover#v=onepage&q&f=false
Sauer, Lorenz [Surius, Laurentius];1523 - 1578;http://viaf.org/viaf/66518611/#Surius,_Laurentius,_1522-1578;De probatis Sanctorum historiis: partim ex tomis Aloysii Lipomani doctissimi episcopi. partim etiam ex egregiis manuscriptis codicibus, quarum per mulktae antehac nunquam in lucem prodiere: nunc recens  optima fide callectis;De probatis Sanctorum historiis ...;1570;Cologne;Geruinum Calenium et haeredes Quentelios;Latin;Catholicism;Hagiographies;Holy Roman Empire ;;;https://books.google.com/books?id=L4yc7Z5JN90C&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Toplady, Augustus Montague;1740 - 1778;http://viaf.org/viaf/60028923/#Toplady,_Augustus,_1740-1778;"Historic Proof Of The Doctrinal Calvinism Of The Church of England: Including, among other Particulars, I. A brief Account of some Eminent Persons, famous for their Adoption of that System, both before and since the Reformation; More Especially, Of Our English Reformers, Martyrs, Prelates, and Unyversitys: with  specimens of their testimonys. ";Historic Proof Of The Doctrinal Calvinism Of The Church of England ...;1774;London;George Keith;English;Protestantism;Anglicanism;Calvinism;England;;https://books.google.com/books?id=vHhOAAAAcAAJ&printsec=frontcover#v=onepage&q&f=false
Tutchin, John;[1661] - 1707;http://viaf.org/viaf/1369522/#Tutchin,_John,_1661?-1707;"The Protestant Martyrs: or, The bloody assizes Giving an account of the lives, tryals, and dying speeches, of all those eminent Protestants that suffered in the west of England, by the sentence of that bloody and cruel Judge Jefferies; being in all 251 persons, besides what were hang'd and destroyed in cold blood. Containing also, the life and death of James Duke of Monmouth; his birth and education; his actions both at home and abroad; his unfortunate sentence, execution and dying-words upon the scaffold: with a true copy of the paper he left behind him. And many other curious remarks worth the reader's observation.";The Protestant Martyrs ...;1688;London;J. Bradford;English;England;Puritans;Bloody Assizes;Monmouth Rebellion;;https://www.google.com/books/edition/The_Protestant_Martyrs_Or_the_Bloody_Ass/vDbgMHNp5sQC?hl=en&gbpv=1
"Tyndale, William.; Frith, John; Barnes, Robert ";"[1494] - 1536; 1503 - 1533; 1495 - 1540
";"http://viaf.org/viaf/87513128/#Tyndale,_William,_-1536;
http://viaf.org/viaf/17270214/#Frith,_John,_1503-1533; 
http://viaf.org/viaf/74646733/#Barnes,_Robert,_1495?–1540";The Whole Workes of W. Tyndall, Iohn Frith, and Doct. Barnes, Three Worthy Martyrs: And Principall Teachers of this Churche of England, Volumes 1-2,;The Whole Workes of W. Tyndall, Iohn Frith, and Doct. Barnes ...;1573;London;Iohn Daye;English;Protestantism;English Reformation;England;; ;https://books.google.com/books?id=fWE9AQAAMAAJ&printsec=frontcover#v=onepage&q&f=false
Volcyr, Nicolas de Serrouville;1480 - 1541;http://viaf.org/viaf/71436623/#Volcyr_de_Sérouville,_Nicole,_1480?-1541;Traicté nouveau de la desecration et execution actuelle de Jehan Castellan, fanatique ...;Traicté nouveau de la desecration et execution actuelle de Jehan Castellan, fanatique ...;1534;Paris;n. p.;French ;France;;;;;No link found
Wilson, John;[1575] - [1645];http://viaf.org/viaf/16017469/#Wilson,_John,_approximately_1575-approximately_1645?;The English martyrologe containing a summary of the most renowned and illustrious saints of the three kingdoms England, Ireland, & Scotland.;The English martyrologe ...;1672;Saint-Omer;Thomas Gerbels;English;Englnad;Ireland;Scotland;;;No link found
Winstanley, William;[1628] - 1698;http://viaf.org/viaf/59435201/#Winstanley,_William,_1628?-1698;The loyall martyrology, or, Brief catalogues and characters of the most eminent persons who suffered for their conscience during the late times of rebellion either by death, imprisonment, banishment, or sequestration together with those who were slain in the Kings service: as also dregs of treachery: with the catalogue and characters of those regicides who sat as judges on our late dread soveraign of ever blessed memory: with others of that gang, most eminent for villany;The loyall martyrology ...;1665;London;Thomas Mabb;English;English Civil War;Royalists;Regicide;;;https://quod.lib.umich.edu/e/eebo/A66699.0001.001?view=toc
Young, Robert;17;Not found;"A breviary of the later persecutions of the professors of the gospel of Christ Jesus, under the Romish and antichristian prelats through Christendome, from the time of John VVickliff in the year of God 1371. to the raign of Queen Elizabeth of England, and the reformation of religion in Scotland: and of the cruell  persecutions of the Christians under the Turkish emperors, with some memorable occurrences that fell out in these times through diverse realmes & countreys; collected out of the ecclesisticall history and book of martyrs, by Mr. Robert Young.";A breviary of the later persecutions of the professors of the gospel ... ;1674;Glasgow;Robert Sanders;English;England;Scotland;Ottoman Empire;Protestantism;Martyrology;https://quod.lib.umich.edu/e/eebo2/A67835.0001.001?view=toc
Donne, John;1572 - 1631;http://viaf.org/viaf/73852666/#Donne,_John,_1572-1631.;Pseudo-martyr: wherein out of certaine propositions, this conclusion is evicted, that those which are of the Romane religion may and ought to take the oath of allegiance;Pseudo-martyr ...;1610;London;W. Stansby, Walter burre;English;Anglicanism ;;;;;https://ia800704.us.archive.org/19/items/pseudomartyrwher00donn/pseudomartyrwher00donn.pdf
Corvinus, Johann Friedrich ;1648 - 1721;http://viaf.org/viaf/32847899/#Corvinus,_Johann_Friedrich_1648-1721;Anabaptisticum et enthusiasticum Pantheon und geistliches Rüst-Hauss wider die alten Quacker, und neuen Frey-Geister, welche die Kirche Gottes zeithero verunruhiget, und bestürmet, auch treue Lehrer und Prediger Göttlichen Worts, verachtet, verleumbdet, gelästert und verfolget haben: mit vielen zur Sache dienlichen und nützlichen Kupffern, bloss zu Gottes Ehre und Erhaltung seiner Christlichen Kirchen, auch den Geistlichen, Weltlichen und Hausstande zur Nachricht, Nutz und besten zusammen getragen und auffgerichtet;Anabaptisticum et enthusiasticum Pantheon ...;1702;n. p. ;n. p.;German;Anabaptism;Anti-Anabaptist Controversy;;;;https://books.google.com/books?id=2c9DAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
"Bull, Henry; Coverdale, Miles ";"? - [1575]; 1488 - 1568";"http://viaf.org/viaf/440097/#Bull,_Henry,_-1575?

http://viaf.org/viaf/39395593/#Coverdale,_Miles,_1488-1568
";Certain most godly, fruitful, and comfortable letters of such true saintes and holy martyrs of God, as in the late bloodye persecution here within this realme, gaue their lyues for the defence of Christes holy gospel written in the tyme of their affliction and cruell imprysonment.;Certain most godly, fruitful, and comfortable letters of such true saintes and holy martyrs ... ;1564;London ;John Day ;English;Martyrology;Correspondences ;England;English Reformation;;https://books.google.com/books?id=9WQ_AQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Burton, francis ;17;http://viaf.org/viaf/58952183/#Burton,_Francis,_active_1603-1617;The fierie tryall of Gods saints (these suffered for the witnes of Iesus, and for the word of God, (vnder Queene Mary,) who did not worship the Beast ... As a counter-poyze to I.W. priest his English martyrologe. And the detestable ends of popish traytors: (these are of Sathans synagogue, calling themselues Iewes (or Catholiques) but lie and are not ... Set downe in a comparatiue collection of both their sufferings. Herewith also the concurrance and agreement of the raignes of the kings of England and Scotland, since the first yeare of Q. Mary, till this present, the like before not extant.;The fierie tryall of Gods saints ...;1612;London;"Thomas Purfoot; Thomas Creede";English;Martyrology;English Reformation ;Marian Martyrs;England;;"https://quod.lib.umich.edu/e/eebo/A13961.0001.001/1:7?rgn=div1;view=toc"
Ailward, J. A. of;16 - 17;http://viaf.org/viaf/1272159234632803372273/#J.A,_of_Ailward;"An historicall narration of the iudgement of some most learned and godly English bishops, holy martyrs, and others (whereof III; viz. Archbishop Cranmer, B. Latimer, and Bishop Hooper, suffred martyrdome, in the dayes of Q. Mary, for the truth and Gospell of Christ Iesus) concerning Gods election, and the merit of Christ his death";An historicall narration of the iudgement of some most learned and godly English bishops, holy martyrs ...;1631;London;"Bernard Alsop; Thomas Fawcet";English;Martyrology;English Reformation ;Marian Martyrs;England;;"https://quod.lib.umich.edu/e/eebo/A17121.0001.001/1:1?rgn=div1;view=toc"
Anonymous / Unknown;17;;Fruitful sermons preached by the right Reverend Father, and constant martyr of Iesus Christ, Master Hugh Latimer. Newly Imprinted, With Others Not Heretofore Set Forth In Print, To The Edifying Of All Which Will Dispose Themselves To The Reading Of The Same;Fruitful sermons preached by [...] Master Hugh Latimer ... ;1635;London ;n. p. ;English ;Martyrology;English Reformation ;Marian Martyrs;England;;No link found
Heylyn, Peter;1600 - 1662;http://viaf.org/viaf/10016716/#Heylyn,_Peter,_1600-1662;A briefe relation of the death and sufferings of the Most Reverend and renowned prelate, the L. Archbishop of Canterbury with a more perfect copy of his speech, and other passages on the scaffold, than hath beene hitherto imprinted.;A briefe relation of the death and sufferings of [...] the L. Archbishop of Canterbury ... ;1644;Oxford;n. p. ;English ;England;English Civil War;;;;https://quod.lib.umich.edu/e/eebo/A43512.0001.001?view=toc
Parsons, Robert;1546 - 1610;http://viaf.org/viaf/76338717/#Parsons,_Robert,_1546-1610.;An epistle of the persecution of Catholickes in Englande Translated ovvt of frenche into Englishe and conferred vvithe the Latyne copie. by G.T. To whiche there is added an epistle by the translator to the right honorable lordes of her maiesties preeuie councell towchynge the same matter.;An epistle of the persecution of Catholickes in Englande ... ;1582;Douai;n. p. ;English ;England ;Jesuits (S. J.);Elizabethan Martyrs;Catholicism;;https://quod.lib.umich.edu/e/eebo/A68555.0001.001?view=toc
